Date,Real,Predict
04/07,563,563
05/07,573,573
06/07,11,11
07/07,76,76
08/07,159,159
09/07,137,137
10/07,56,56
11/07,70,70
12/07,82,82
13/07,166,166
14/07,78,174
15/07,5,77
16/07,21,4
17/07,23,20
18/07,139,22
19/07,76,138
20/07,23,75
21/07,305,22
22/07,439,304
23/07,424,438
24/07,142,423
25/07,229,141
26/07,753,228
27/07,536,747
28/07,247,531
29/07,464,244
30/07,364,459
31/07,249,360
01/08,777,247
02/08,128,771
03/08,275,125
04/08,530,270
05/08,36,521
06/08,97,35
07/08,86,95
08/08,93,84
09/08,173,91
10/08,132,169
11/08,97,129
12/08,100,95
13/08,40,98
14/08,47,39
15/08,52,46
16/08,73,51
17/08,58,110
18/08,70,109
19/08,63,107
20/08,71,106
21/08,,105
22/08,,104
23/08,,103
24/08,,102
25/08,,101
26/08,,100
27/08,,99
