Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,1,32
10/07,1,33
11/07,1,33
12/07,2,34
13/07,3,38
14/07,3,42
15/07,4,43
16/07,4,46
17/07,4,46
18/07,5,47
19/07,5,54
20/07,5,56
21/07,7,57
22/07,8,63
23/07,11,67
24/07,12,75
25/07,12,78
26/07,13,79
27/07,13,84
28/07,17,84
29/07,21,87
30/07,24,92
31/07,31,96
01/08,33,106
02/08,38,108
03/08,57,114
04/08,69,138
05/08,80,151
06/08,94,164
07/08,98,180
08/08,113,185
09/08,134,202
10/08,159,229
11/08,163,257
12/08,171,262
13/08,177,272
14/08,196,280
15/08,209,301
16/08,230,318
17/08,242,340
18/08,252,442
19/08,268,535
20/08,289,621
21/08,311,701
22/08,,776
23/08,,846
24/08,,911
25/08,,973
26/08,,1031
27/08,,1086
28/08,,1139
