Date,Real,Predict
29/06,10,10
30/06,13,13
01/07,13,13
02/07,14,14
03/07,19,19
04/07,50,50
05/07,60,60
06/07,62,62
07/07,67,67
08/07,69,69
09/07,80,96
10/07,81,112
11/07,82,113
12/07,84,115
13/07,87,118
14/07,96,122
15/07,118,134
16/07,124,156
17/07,127,165
18/07,144,169
19/07,168,192
20/07,182,224
21/07,234,240
22/07,291,294
23/07,356,353
24/07,423,418
25/07,462,485
26/07,509,525
27/07,514,574
28/07,589,580
29/07,673,654
30/07,856,737
31/07,904,918
01/08,1016,966
02/08,1133,1077
03/08,1321,1193
04/08,1484,1379
05/08,1612,1540
06/08,1759,1667
07/08,1909,1813
08/08,1999,1961
09/08,2046,2050
10/08,2220,2097
11/08,2307,2270
12/08,2409,2356
13/08,2467,2459
14/08,2770,2517
15/08,2871,2816
16/08,2993,2918
17/08,3188,3038
18/08,3376,3231
19/08,3413,3419
20/08,3565,3455
21/08,3611,3606
22/08,3656,3652
23/08,3732,3696
24/08,3746,3744
25/08,3797,3797
26/08,3836,3855
27/08,,3917
28/08,,3984
29/08,,4054
30/08,,4125
31/08,,4197
01/09,,4270
02/09,,4344
