Date,Real,Predict
24/06,0,59
25/06,0,61
26/06,0,50
27/06,0,41
28/06,0,31
29/06,1,13
30/06,2,3
01/07,2,3
02/07,2,3
03/07,2,3
04/07,2,4
05/07,2,4
06/07,2,5
07/07,3,7
08/07,4,7
09/07,4,12
10/07,5,12
11/07,5,11
12/07,6,13
13/07,7,14
14/07,8,13
15/07,9,12
16/07,10,18
17/07,12,14
18/07,17,14
19/07,18,16
20/07,21,18
21/07,24,14
22/07,27,20
23/07,38,26
24/07,40,24
25/07,42,25
26/07,44,29
27/07,51,26
28/07,61,25
29/07,78,29
30/07,96,28
31/07,105,24
01/08,118,25
02/08,125,29
03/08,136,34
04/08,148,53
05/08,167,66
06/08,172,83
07/08,183,103
08/08,198,129
09/08,,161
10/08,,202
11/08,,252
12/08,,317
13/08,,401
14/08,,511
15/08,,659
