Date,Real,Predict
29/06,10,10
30/06,12,12
01/07,13,13
02/07,14,14
03/07,38,38
04/07,80,80
05/07,87,87
06/07,88,88
07/07,89,89
08/07,90,90
09/07,98,120
10/07,98,131
11/07,101,131
12/07,105,135
13/07,123,141
14/07,135,164
15/07,175,180
16/07,178,221
17/07,188,225
18/07,200,238
19/07,215,255
20/07,252,275
21/07,275,317
22/07,348,342
23/07,388,417
24/07,462,457
25/07,510,532
26/07,681,581
27/07,799,758
28/07,1137,882
29/07,1161,1212
30/07,1384,1236
31/07,1651,1456
01/08,1820,1720
02/08,2064,1885
03/08,2473,2126
04/08,2564,2529
05/08,2630,2618
06/08,2747,2683
07/08,2828,2799
08/08,3013,2878
09/08,3092,3060
10/08,3254,3139
11/08,3383,3298
12/08,3515,3426
13/08,3613,3556
14/08,3741,3653
15/08,3819,3778
16/08,3925,3856
17/08,4049,3960
18/08,4133,4082
19/08,4267,4165
20/08,4349,4299
21/08,4468,4380
22/08,4548,4499
23/08,4635,4574
24/08,4714,4583
25/08,4820,4559
26/08,4932,4498
27/08,5279,4408
28/08,,4335
29/08,,4298
30/08,,4302
31/08,,4451
01/09,,4732
02/09,,5155
03/09,,5922
