Date,Real,Predict
24/06,0,0
25/06,0,0
26/06,0,0
27/06,0,0
28/06,0,0
29/06,1,1
30/06,2,2
01/07,2,2
02/07,2,2
03/07,2,2
04/07,2,8
05/07,2,9
06/07,2,9
07/07,3,9
08/07,4,10
09/07,4,12
10/07,5,12
11/07,5,13
12/07,6,14
13/07,7,15
14/07,8,17
15/07,9,18
16/07,10,20
17/07,12,21
18/07,17,24
19/07,18,29
20/07,21,31
21/07,24,34
22/07,27,38
23/07,38,42
24/07,40,53
25/07,42,54
26/07,44,56
27/07,51,59
28/07,61,66
29/07,78,76
30/07,96,93
31/07,105,111
01/08,118,120
02/08,125,134
03/08,136,141
04/08,148,156
05/08,167,172
06/08,172,188
07/08,183,205
08/08,,221
09/08,,237
10/08,,252
11/08,,268
12/08,,284
13/08,,299
14/08,,314
