Date,Real,Predict
29/06,8,8
30/06,9,9
01/07,10,10
02/07,11,11
03/07,24,24
04/07,37,37
05/07,42,42
06/07,45,45
07/07,45,45
08/07,51,51
09/07,53,68
10/07,54,71
11/07,60,72
12/07,63,81
13/07,72,86
14/07,76,97
15/07,107,102
16/07,117,134
17/07,128,148
18/07,145,162
19/07,157,185
20/07,215,200
21/07,280,266
22/07,318,335
23/07,387,375
24/07,439,445
25/07,696,498
26/07,818,760
27/07,998,887
28/07,1239,1078
29/07,1649,1317
30/07,1806,1726
31/07,1893,1884
01/08,1961,1971
02/08,1980,2039
03/08,2025,2058
04/08,2079,2103
05/08,2265,2157
06/08,2387,2343
07/08,2662,2466
08/08,2821,2740
09/08,3003,2900
10/08,3030,3084
11/08,3178,3111
12/08,3208,3260
13/08,3427,3291
14/08,3589,3511
15/08,3733,3673
16/08,3910,3820
17/08,4021,3997
18/08,4162,4108
19/08,4407,4193
20/08,4628,4276
21/08,4801,4356
22/08,4857,4435
23/08,,4511
24/08,,4586
25/08,,4660
26/08,,4732
27/08,,4804
28/08,,4877
29/08,,4950
