Date,Predict
29/06,38
30/06,53
01/07,61
02/07,49
03/07,48
04/07,27
05/07,15
06/07,8
07/07,6
08/07,6
09/07,6
10/07,8
11/07,6
12/07,5
13/07,4
14/07,4
15/07,2
16/07,1
17/07,3
18/07,3
19/07,3
20/07,4
21/07,6
22/07,5
23/07,5
24/07,6
25/07,5
26/07,3
27/07,544
28/07,1205
29/07,1960
30/07,2813
31/07,3754
01/08,5006
02/08,6532
03/08,8934
04/08,12621
05/08,16291
06/08,16655
07/08,15439
