Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,1,15
10/07,1,15
11/07,1,15
12/07,2,16
13/07,3,18
14/07,3,20
15/07,4,21
16/07,4,22
17/07,4,23
18/07,5,23
19/07,5,27
20/07,5,28
21/07,7,28
22/07,8,32
23/07,11,35
24/07,12,40
25/07,12,42
26/07,13,42
27/07,13,45
28/07,17,45
29/07,21,49
30/07,24,53
31/07,31,57
01/08,33,65
02/08,38,67
03/08,57,73
04/08,69,94
05/08,80,107
06/08,94,119
07/08,98,134
08/08,113,138
09/08,134,154
10/08,159,178
11/08,163,205
12/08,171,209
13/08,177,218
14/08,196,225
15/08,209,244
16/08,230,291
17/08,242,334
18/08,252,376
19/08,268,417
20/08,,457
21/08,,497
22/08,,538
23/08,,582
24/08,,630
25/08,,681
26/08,,718
