Date,Real,Predict
29/06,4,4
30/06,6,6
01/07,7,7
02/07,8,8
03/07,12,12
04/07,17,17
05/07,22,22
06/07,26,26
07/07,29,29
08/07,32,32
09/07,33,66
10/07,34,68
11/07,36,71
12/07,39,75
13/07,42,82
14/07,43,87
15/07,71,88
16/07,71,117
17/07,80,118
18/07,91,133
19/07,91,154
20/07,97,154
21/07,140,162
22/07,163,210
23/07,187,236
24/07,233,260
25/07,297,309
26/07,395,376
27/07,451,483
28/07,479,547
29/07,645,574
30/07,786,738
31/07,833,879
01/08,910,926
02/08,1151,1002
03/08,1269,1242
04/08,1364,1360
05/08,1411,1454
06/08,1545,1500
07/08,1688,1634
08/08,1860,1776
09/08,1974,1947
10/08,2159,2064
11/08,2292,2247
12/08,2421,2382
13/08,2636,2514
14/08,2905,2732
15/08,3004,2998
16/08,3165,3101
17/08,3207,3259
18/08,3247,3301
19/08,3311,3342
20/08,3379,3407
21/08,3442,3475
22/08,3482,3539
23/08,3536,3581
24/08,3553,3638
25/08,3585,3656
26/08,3643,3690
27/08,3686,3750
28/08,3717,3795
29/08,3748,3828
30/08,3776,3861
31/08,3845,3891
01/09,3868,4002
02/09,3913,4109
03/09,3997,4213
04/09,4026,4313
05/09,4103,4411
06/09,,4506
07/09,,4600
08/09,,4692
09/09,,4782
10/09,,4870
11/09,,4958
12/09,,5044
13/09,,5130
14/09,,5214
15/09,,5298
