Date,Real,Predict
29/06,4,4
30/06,5,5
01/07,5,5
02/07,6,6
03/07,11,11
04/07,16,16
05/07,22,22
06/07,23,23
07/07,26,26
08/07,26,26
09/07,27,32
10/07,27,33
11/07,28,33
12/07,32,34
13/07,37,39
14/07,39,44
15/07,75,47
16/07,75,82
17/07,78,82
18/07,86,85
19/07,89,94
20/07,91,98
21/07,129,100
22/07,163,137
23/07,276,171
24/07,319,281
25/07,329,323
26/07,371,333
27/07,376,375
28/07,545,380
29/07,688,543
30/07,751,681
31/07,933,742
01/08,980,919
02/08,1066,964
03/08,1435,1047
04/08,1588,1405
05/08,1746,1553
06/08,1922,1706
07/08,1992,1877
08/08,2169,1944
09/08,2344,2116
10/08,2583,2286
11/08,2614,2518
12/08,2689,2548
13/08,2748,2621
14/08,2976,2679
15/08,3077,2899
16/08,3256,2999
17/08,3365,3172
18/08,3457,3277
19/08,3590,3367
20/08,3738,3497
21/08,3938,3640
22/08,3963,3834
23/08,4108,3859
24/08,4243,4001
25/08,4347,4133
26/08,4496,4235
27/08,4664,4380
28/08,4782,4544
29/08,4877,4659
30/08,4973,4749
31/08,4985,4842
01/09,5048,4721
02/09,5120,4610
03/09,5299,4509
04/09,5367,4417
05/09,,4335
06/09,,4262
07/09,,4199
08/09,,4143
09/09,,4096
10/09,,4053
11/09,,4014
