Date,Real,Predict
24/06,0,144
25/06,0,118
26/06,0,132
27/06,0,141
28/06,0,138
29/06,0,93
30/06,0,101
01/07,1,101
02/07,1,79
03/07,2,70
04/07,2,71
05/07,3,81
06/07,3,59
07/07,3,51
08/07,3,55
09/07,3,78
10/07,3,71
11/07,4,77
12/07,6,84
13/07,8,79
14/07,9,72
15/07,10,80
16/07,12,83
17/07,14,81
18/07,15,99
19/07,17,104
20/07,18,128
21/07,20,108
22/07,22,121
23/07,24,113
24/07,29,120
25/07,35,91
26/07,43,108
27/07,52,87
28/07,65,76
29/07,76,57
30/07,92,57
31/07,99,52
01/08,116,54
02/08,133,59
03/08,147,60
04/08,158,62
05/08,179,64
06/08,199,65
07/08,,67
08/08,,69
09/08,,71
10/08,,73
11/08,,75
12/08,,77
13/08,,79
