Date,Real,Predict
02/07,42,42
03/07,46,46
04/07,51,51
05/07,58,58
06/07,36,36
07/07,35,35
08/07,32,32
09/07,31,31
10/07,21,21
11/07,20,20
12/07,10,24
13/07,10,12
14/07,9,12
15/07,10,10
16/07,16,12
17/07,19,19
18/07,24,23
19/07,34,28
20/07,34,41
21/07,33,41
22/07,29,40
23/07,33,36
24/07,20,40
25/07,27,25
26/07,24,33
27/07,29,30
28/07,22,37
29/07,24,28
30/07,21,30
31/07,31,27
01/08,31,40
02/08,34,40
03/08,36,43
04/08,34,45
05/08,26,43
06/08,22,33
07/08,22,28
08/08,24,28
09/08,24,30
10/08,24,30
11/08,28,29
12/08,31,33
13/08,31,37
14/08,37,37
15/08,42,45
16/08,45,51
17/08,78,54
18/08,83,94
19/08,105,99
20/08,97,126
21/08,124,116
22/08,160,149
23/08,219,193
24/08,194,265
25/08,210,236
26/08,180,255
27/08,103,218
28/08,36,125
29/08,34,44
30/08,22,41
31/08,25,26
01/09,46,30
02/09,49,56
03/09,,59
04/09,,72
05/09,,88
06/09,,107
07/09,,131
08/09,,161
09/09,,200
10/09,,255
11/09,,331
12/09,,435
13/09,,566
14/09,,730
