Date,Real,Predict
29/06,0,0
30/06,1,1
01/07,2,2
02/07,3,3
03/07,3,3
04/07,19,19
05/07,28,28
06/07,28,28
07/07,28,28
08/07,28,28
09/07,28,109
10/07,29,109
11/07,32,114
12/07,37,128
13/07,37,152
14/07,42,153
15/07,93,171
16/07,96,222
17/07,96,236
18/07,100,237
19/07,104,251
20/07,111,263
21/07,121,277
22/07,137,289
23/07,173,307
24/07,207,341
25/07,210,377
26/07,225,380
27/07,242,398
28/07,287,420
29/07,318,454
30/07,342,480
31/07,414,500
01/08,464,561
02/08,518,601
03/08,561,647
04/08,606,683
05/08,650,720
06/08,661,756
07/08,670,766
08/08,682,773
09/08,688,783
10/08,766,789
11/08,772,854
12/08,849,859
13/08,865,931
14/08,936,945
15/08,973,1003
16/08,1030,1040
17/08,1050,1086
18/08,1142,1103
19/08,1191,1185
20/08,1244,1230
21/08,1309,1276
22/08,1359,1334
23/08,1377,1387
24/08,1448,1406
25/08,1506,1479
26/08,1568,1539
27/08,1644,1597
28/08,1671,1678
29/08,1692,1706
30/08,1721,1692
31/08,1790,1650
01/09,1832,1594
02/09,1916,1534
03/09,1991,1472
04/09,,1411
05/09,,1350
06/09,,1291
07/09,,1233
08/09,,1180
09/09,,1130
10/09,,1084
11/09,,1042
12/09,,1005
13/09,,972
