Date,Real,Predict
29/06,29,29
30/06,36,36
01/07,35,35
02/07,30,30
03/07,21,21
04/07,10,10
05/07,4,4
06/07,7,7
07/07,6,6
08/07,7,7
09/07,8,9
10/07,9,11
11/07,6,12
12/07,7,8
13/07,12,10
14/07,12,17
15/07,14,17
16/07,16,19
17/07,19,23
18/07,24,26
19/07,23,33
20/07,27,32
21/07,25,37
22/07,26,35
23/07,28,36
24/07,31,39
25/07,29,43
26/07,31,40
27/07,36,43
28/07,30,50
29/07,40,41
30/07,43,55
31/07,48,59
01/08,53,65
02/08,54,73
03/08,54,74
04/08,68,75
05/08,64,94
06/08,59,88
07/08,66,82
08/08,62,92
09/08,61,86
10/08,70,84
11/08,71,98
12/08,72,99
13/08,78,100
14/08,79,108
15/08,83,110
16/08,92,115
17/08,,127
18/08,,176
19/08,,243
20/08,,334
21/08,,455
22/08,,614
23/08,,814
24/08,,1055
25/08,,1320
26/08,,1584
27/08,,1841
28/08,,2114
