Date,Predict
29/06,38
30/06,53
01/07,61
02/07,49
03/07,48
04/07,27
05/07,15
06/07,8
07/07,6
08/07,6
09/07,5
10/07,7
11/07,5
12/07,4
13/07,3
14/07,3
15/07,1
16/07,0
17/07,2
18/07,2
19/07,2
20/07,3
21/07,5
22/07,4
23/07,4
24/07,5
25/07,4
26/07,2
27/07,510
28/07,1049
29/07,1625
30/07,2245
31/07,2862
01/08,3514
02/08,3993
03/08,4602
04/08,5422
05/08,6702
06/08,9299
07/08,16313
