Date,Real,Predict
29/06,1,1
30/06,1,1
01/07,1,1
02/07,1,1
03/07,1,1
04/07,2,2
05/07,3,3
06/07,3,3
07/07,3,3
08/07,3,3
09/07,4,6
10/07,4,8
11/07,4,8
12/07,4,8
13/07,5,8
14/07,6,10
15/07,6,11
16/07,7,11
17/07,7,12
18/07,10,13
19/07,12,17
20/07,13,20
21/07,16,21
22/07,18,24
23/07,20,27
24/07,22,29
25/07,23,31
26/07,25,33
27/07,25,35
28/07,27,35
29/07,29,37
30/07,37,39
31/07,39,47
01/08,45,49
02/08,51,55
03/08,61,61
04/08,74,72
05/08,83,85
06/08,94,94
07/08,102,105
08/08,109,113
09/08,115,120
10/08,133,126
11/08,144,144
12/08,155,156
13/08,161,167
14/08,186,173
15/08,199,198
16/08,213,211
17/08,235,226
18/08,256,248
19/08,260,269
20/08,281,273
21/08,286,287
22/08,294,301
23/08,309,316
24/08,311,330
25/08,,345
26/08,,359
27/08,,374
28/08,,390
29/08,,405
30/08,,420
31/08,,436
