Date,Real,Predict
24/06,1,1
25/06,1,1
26/06,1,1
27/06,1,1
28/06,1,1
29/06,2,2
30/06,5,5
01/07,5,5
02/07,5,5
03/07,5,5
04/07,6,80
05/07,7,90
06/07,8,94
07/07,10,99
08/07,13,108
09/07,14,117
10/07,16,124
11/07,17,129
12/07,18,138
13/07,20,144
14/07,22,151
15/07,23,165
16/07,25,170
17/07,28,175
18/07,31,184
19/07,33,190
20/07,41,196
21/07,42,213
22/07,47,216
23/07,57,233
24/07,64,241
25/07,71,249
26/07,79,258
27/07,85,268
28/07,101,275
29/07,108,294
30/07,125,302
31/07,152,486
01/08,198,661
02/08,221,827
03/08,261,985
04/08,,1138
05/08,,1284
06/08,,1426
07/08,,1565
08/08,,1701
09/08,,1836
10/08,,1972
