Date,Real,Predict
24/06,38,38
25/06,54,54
26/06,58,58
27/06,59,59
28/06,73,73
29/06,154,154
30/06,165,165
01/07,169,169
02/07,172,172
03/07,175,175
04/07,180,376
05/07,188,385
06/07,192,408
07/07,196,417
08/07,207,425
09/07,224,442
10/07,260,471
11/07,275,507
12/07,309,537
13/07,328,594
14/07,346,629
15/07,446,658
16/07,650,787
17/07,834,1008
18/07,984,1201
19/07,1380,1348
20/07,1500,1747
21/07,1775,1867
22/07,1994,2156
23/07,2448,2393
24/07,2620,2812
25/07,2687,2974
26/07,2808,3038
27/07,3111,3153
28/07,3303,3437
29/07,3410,3619
30/07,3632,3721
31/07,3743,3964
01/08,3877,4147
02/08,4053,4282
03/08,4190,4375
04/08,,4432
05/08,,4460
06/08,,4464
07/08,,4447
08/08,,4414
09/08,,4368
10/08,,4313
